Object                                                                                    Feature                       Support 
((wall/NN, basement/NN), wall/NN)                                                         exterior/NN                   4.20397E-5
((wall/NN, bearing/NN), load/NN)                                                          non/JJ                        4.20397E-5
((wall/NNS, brick/concrete/NN), quality/NN)                                               poor/JJ                       2.94278E-4
((wall/NNS, brick/concrete/NN), quality/NN)                                               poor/JJ                       2.94278E-4
((wall/NNS, brick/concrete/NN), quality/NN)                                               poor/JJ                       2.94278E-4
((wall/NNS, brick/concrete/NN), quality/NN)                                               poor/JJ                       2.94278E-4
((wall/NNS, brick/concrete/NN), quality/NN)                                               poor/JJ                       2.94278E-4
((wall/NNS, brick/concrete/NN), quality/NN)                                               poor/JJ                       2.94278E-4
((wall/NNS, brick/concrete/NN), quality/NN)                                               poor/JJ                       2.94278E-4
((way/NN, half/NN), door/NN)                                                              garage/NN                     4.20397E-5
((xp/NN, Brand/NNP), Bond/NNP)                                                            Gold/NNP                      4.20397E-5
(2d/NN, %/NN)                                                                             100/CD                        4.20397E-5
(35w/NN, v/NNS)                                                                           4w/NN                         4.20397E-5
(:d/NN, boy/NNS)                                                                          three/CD                      4.20397E-5
(ac/NN, BTU/NNP)                                                                          8500/CD                       4.20397E-5
(Aerosol/NNP, DL/NNP)                                                                     Pro-Citra/NNP                 4.20397E-5
(afternoon/NN, summer/NN)                                                                 typical/JJ                    4.20397E-5
(Agency/NNP, Protection/NNP)                                                              Environmental/NNP             4.20397E-5
(air/NN, attic/NN)                                                                        hot/JJ                        4.20397E-5
(anchor/NN, drywall/NN)                                                                   self-drilling/JJ              4.20397E-5
(anchor/NNS, drywall/NN)                                                                  big/JJ                        4.20397E-5
(angle/NN, degree/NN)                                                                     45/CD                         4.20397E-5
(answer/NN, right/NN)                                                                     one/NN                        4.20397E-5
(Antiques/NNP, Architectural/NNP)                                                         Adkins/NNP                    4.20397E-5
(app/NNS, iOS/NNP)                                                                        several/JJ                    4.20397E-5
(approach/NN, chemical/NN)                                                                toxic/JJ                      4.20397E-5
(approach/NN, chemical/NN)                                                                traditional/JJ                4.20397E-5
(Architect/NNP, Home/NNP)                                                                 3D/NNP                        8.40795E-5
(Architect/NNP, Home/NNP)                                                                 3D/NNP                        8.40795E-5
(area/NN, intake/NN)                                                                      air/NN                        4.20397E-5
(area/NN, L.A./NNP)                                                                       greater/JJR                   4.20397E-5
(asbestos/NN, %/NN)                                                                       1/CD                          4.20397E-5
(aspect/NN, heating/NN)                                                                   central/JJ                    4.20397E-5
(assembly/NN, fan/NN)                                                                     exhaust/NN                    4.20397E-5
(assessment/NN, energy/NN)                                                                free/JJ                       4.20397E-5
(association/NN, owner/NNS)                                                               home/NN                       4.20397E-5
(association/NNS, Owners/NNP)                                                             Home/NNP                      4.20397E-5
(attachment/NN, hose/NN)                                                                  heavy-duty/JJ                 4.20397E-5
(Authority/NNP, Safety/NNP)                                                               electrical/JJ                 4.20397E-5
(bag/NN, plastic/NN)                                                                      heavy/JJ                      4.20397E-5
(bag/NN, Zip-Lock/NNP)                                                                    large/JJ                      4.20397E-5
(bait/NN, acid/NN)                                                                        boric/JJ                      4.20397E-5
(bait/NN, acid/NN)                                                                        own/JJ                        4.20397E-5
(ball/NN, rod/NN)                                                                         down/JJ                       4.20397E-5
(barrier/NN, insulation/damp/NN)                                                          faulty/JJ                     4.20397E-5
(barrier/NN, moisture/NN)                                                                 good/JJ                       4.20397E-5
(barrier/NN, vapor/NN)                                                                    additional/JJ                 4.20397E-5
(barrier/NN, vapor/NN)                                                                    double/JJ                     4.20397E-5
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(barrier/NN, Vapor/NNP)                                                                   additional/JJ                 3.36318E-4
(basement/NNS, block/NN)                                                                  cinder/JJ                     4.20397E-5
(bathroom/NN, area/NN)                                                                    common/JJ                     4.20397E-5
(battery/NNS, 12v/NN)                                                                     old/JJ                        4.20397E-5
(battery/NNS, lithium/NN)                                                                 newer/JJR                     4.20397E-5
